model,placement,c1_cross_failure_domain_fraction,no_shadow_mean_uncovered_mass,no_shadow_cvar95_uncovered_mass,no_shadow_p99_uncovered_mass
olmoe_e64k8,calibration_coactivation_balanced,0.4993307521830947,0.5000000001147398,0.9309252987489113,0.9999999403953552
olmoe_e64k8,calibration_frequency_lpt,0.49984804438808045,0.5000000001567031,0.8758925844280178,0.9162349921464921
olmoe_e64k8,contiguous,0.5011088955594831,0.5000000001934488,0.8680885331948568,0.9138135415315628
olmoe_e64k8,round_robin,0.5000186218823279,0.5000000001852776,0.8584206515519919,0.9026807463169099
llmjp_e32k16,calibration_coactivation_balanced,0.500064419308889,0.4999999991491251,0.7722758782443784,0.8015137881040573
llmjp_e32k16,calibration_frequency_lpt,0.5001912673096915,0.4999999991084536,0.7641577763246066,0.7982193076610565
llmjp_e32k16,contiguous,0.5002055043035462,0.4999999990952375,0.7615869515250936,0.7884865248203278
llmjp_e32k16,round_robin,0.5000482007006515,0.49999999916624205,0.7847357210962004,0.8196036297082901
