model,pair_count,request_count,pair_spearman_gate_vs_contribution,layer_expert_mass_spearman,evidence_level
olmoe_e64k8,131072,8,0.7167279987711783,0.7844799290068636,small historical contribution audit
llmjp_e32k16,262144,8,0.5860457415321747,0.5924061187500715,small historical contribution audit
