cell,repeat,regime,cap,telemetry,status,goodput_rps,slo_attainment,throughput_rps,n_completed,ttft_p50_s,tpot_p50_s,U_mean,C_mean
0,0,steady,6,False,COMPLETE,0.7930518071182201,0.375,2.1148048189819204,16,2.096742080524564,0.20888772333661715,,
1,0,steady,6,True,COMPLETE,0.7804570445622829,0.375,2.081218785499421,16,2.1685317996889353,0.2125672847032547,0.47637774493243246,5.723889994460183
2,0,bursty,6,False,COMPLETE,0.7913200169741076,0.375,2.1101867119309534,16,2.104963067919016,0.20860306372245152,,
3,0,bursty,6,True,COMPLETE,0.767821835408512,0.375,2.0475248944226987,16,2.1789657585322857,0.21517516697446504,0.47637774493243246,5.723889994460183
