layer,rank,count,mean_share,median_share,p75_share,p90_share,rank1_over_rankk_median
0,1,13463,0.14505696296691895,0.13241542875766754,0.16544348001480103,0.20955394208431244,
0,2,13463,0.11143778264522552,0.10340002924203873,0.1274661421775818,0.1577954739332199,
0,3,13463,0.09120628982782364,0.08663789182901382,0.1046389639377594,0.12436924874782562,
0,4,13463,0.0790988877415657,0.07600462436676025,0.08886590600013733,0.10531246662139893,
0,5,13463,0.07114201039075851,0.06874033808708191,0.08012402802705765,0.09306095540523529,
0,6,13463,0.0650116577744484,0.0630432516336441,0.07300235331058502,0.08400837332010269,
0,7,13463,0.05906856060028076,0.057501718401908875,0.06649309396743774,0.07604094594717026,
0,8,13463,0.054558802396059036,0.05325639992952347,0.06163428723812103,0.07041152566671371,
0,9,13463,0.05043720081448555,0.049124449491500854,0.056881390511989594,0.06549074500799179,
0,10,13463,0.04688948020339012,0.046012867242097855,0.05319652706384659,0.06105577573180199,
0,11,13463,0.043720412999391556,0.042894139885902405,0.05000239610671997,0.05744548514485359,
0,12,13463,0.04082919657230377,0.04017015919089317,0.04716219753026962,0.054041050374507904,
0,13,13463,0.03835510462522507,0.03766459599137306,0.044544517993927,0.05116530507802963,
0,14,13463,0.03628329932689667,0.035599663853645325,0.04223417863249779,0.048921745270490646,
0,15,13463,0.03428993001580238,0.03369301185011864,0.0400601364672184,0.04632949456572533,
0,16,13463,0.03261442855000496,0.03203260153532028,0.03829042613506317,0.044286586344242096,4.168129920959473
1,1,13463,0.17763416469097137,0.16574758291244507,0.2057911455631256,0.2574770152568817,
1,2,13463,0.12538358569145203,0.11986399441957474,0.14450885355472565,0.1694793552160263,
1,3,13463,0.09872949123382568,0.09526927769184113,0.11124219000339508,0.12945012748241425,
1,4,13463,0.08222698420286179,0.08012022823095322,0.09202902019023895,0.10456565022468567,
1,5,13463,0.07097205519676208,0.06932886689901352,0.07931157946586609,0.08995351195335388,
1,6,13463,0.06263022869825363,0.0614667683839798,0.07029382884502411,0.07959538698196411,
1,7,13463,0.05586188659071922,0.055095165967941284,0.06286546587944031,0.0710069015622139,
1,8,13463,0.050213079899549484,0.04960290715098381,0.0568278431892395,0.06414604932069778,
1,9,13463,0.04550454393029213,0.045085880905389786,0.05187041312456131,0.05852724611759186,
1,10,13463,0.04147479310631752,0.04101055487990379,0.04755634069442749,0.05380619317293167,
1,11,13463,0.0380903035402298,0.03783663734793663,0.043766722083091736,0.049460187554359436,
1,12,13463,0.03498974069952965,0.034728024154901505,0.040490202605724335,0.046127986162900925,
1,13,13463,0.0323222354054451,0.03210994601249695,0.03770952671766281,0.042999278753995895,
1,14,13463,0.029942821711301804,0.029713144525885582,0.03515912592411041,0.04040586203336716,
1,15,13463,0.027913380414247513,0.027621252462267876,0.03295210376381874,0.038119349628686905,
1,16,13463,0.026110686361789703,0.02567688748240471,0.030861182138323784,0.035845767706632614,6.458791255950928
2,1,13463,0.19687560200691223,0.1759921759366989,0.2295682579278946,0.2948567867279053,
2,2,13463,0.12486284971237183,0.11936812102794647,0.14252328872680664,0.1685638278722763,
2,3,13463,0.0978948175907135,0.09536752849817276,0.11015927791595459,0.1261218786239624,
2,4,13463,0.08101560920476913,0.07977285236120224,0.09124083071947098,0.1029277890920639,
