target_layer,mean_kl,mean_ppl,ppl_delta,local_relative_mse
0,0.16194617742439732,14.959994062781334,-0.048779070377349854,0.0006584715828415603
1,0.11187193304067478,14.993210822343826,-0.015562310814857483,9.201346025232748e-06
2,0.10891358778462745,15.01361183822155,0.004838705062866211,4.6465115522190884e-07
3,0.10196028728387319,14.975124970078468,-0.033648163080215454,2.8061703986146946e-05
4,0.08224369934760034,14.980260625481606,-0.028512507677078247,4.110276142170473e-05
5,0.07868120513739996,15.012346118688583,0.003572985529899597,0.0005684830303223195
6,0.07091711516841315,15.017633482813835,0.008860349655151367,0.0004339702636599565
7,0.06539461648208089,15.020699843764305,0.011926710605621338,0.0007881333959458451
8,0.05370067682815716,14.992899611592293,-0.01587352156639099,0.0002674303487077907
9,0.049556950747501105,15.007212221622467,-0.0015609115362167358,0.00021499496906809772
10,0.04024914390174672,15.001471817493439,-0.007301315665245056,0.0002513452251604124
11,0.04186511825537309,14.989921629428864,-0.01885150372982025,0.0004028413004996813
12,0.03639362737885676,14.993523195385933,-0.015249937772750854,0.0006568112117870799
13,0.028233929959242232,15.009593605995178,0.0008204728364944458,0.00046120280126888655
14,0.028414961285307072,15.000276759266853,-0.008496373891830444,0.0008624868546637729
15,0.12696201063226908,15.022846892476082,0.014073759317398071,0.002492640884609188
