layer,receiver_group,rank,count,mean_share,median_share,p75_share,p90_share,full_bytes,policy_bytes,policy_byte_saving
0,0,1,5364,0.28241413831710815,0.2484479695558548,0.34008392691612244,0.48662230372428894,21970944.0,21970944.0,0.0
0,0,2,5123,0.22050663828849792,0.17701409757137299,0.266853928565979,0.42814144492149353,20983808.0,20983808.0,0.0
0,0,3,6443,0.1737467348575592,0.13975897431373596,0.20977401733398438,0.34502679109573364,26390528.0,26390528.0,0.0
0,0,4,7620,0.12990278005599976,0.10487168282270432,0.15461072325706482,0.2518811523914337,31211520.0,31211520.0,0.0
0,0,5,8037,0.10107973963022232,0.079955093562603,0.11444515734910965,0.199140727519989,32919552.0,32919552.0,0.0
0,0,6,8239,0.07902565598487854,0.06465978175401688,0.08814207464456558,0.14241869747638702,33746944.0,33746944.0,0.0
0,0,7,8303,0.06347090750932693,0.05258844420313835,0.0711834579706192,0.10231009125709534,34009088.0,34009088.0,0.0
0,0,8,7736,0.053856294602155685,0.045983318239450455,0.06057416647672653,0.08155498653650284,31686656.0,31686656.0,0.0
0,1,1,7443,0.27865633368492126,0.26201993227005005,0.33982133865356445,0.42409560084342957,30486528.0,30486528.0,0.0
0,1,2,5988,0.16828711330890656,0.15980865061283112,0.20477338135242462,0.25261977314949036,24526848.0,24526848.0,0.0
0,1,3,5636,0.12031738460063934,0.11582829058170319,0.14387604594230652,0.1758306920528412,23085056.0,23085056.0,0.0
0,1,4,5633,0.09491827338933945,0.09105820953845978,0.11343632638454437,0.13902424275875092,23072768.0,23072768.0,0.0
0,1,5,5858,0.07564148306846619,0.07255639880895615,0.0904664695262909,0.11148520559072495,23994368.0,23994368.0,0.0
0,1,6,5652,0.0630585253238678,0.06016785278916359,0.07556263357400894,0.09170229732990265,23150592.0,23150592.0,0.0
0,1,7,5754,0.05371302366256714,0.05104394629597664,0.06455465406179428,0.07836916297674179,23568384.0,23568384.0,0.0
0,1,8,5658,0.04805169627070427,0.04595397040247917,0.05732952430844307,0.06949186325073242,23175168.0,23175168.0,0.0
0,2,1,6320,0.31303462386131287,0.3003525137901306,0.3839852511882782,0.4904194474220276,25886720.0,25886720.0,0.0
0,2,2,8040,0.22596019506454468,0.229186549782753,0.29171401262283325,0.32778140902519226,32931840.0,32931840.0,0.0
0,2,3,6916,0.17096935212612152,0.15853527188301086,0.2349846065044403,0.2772287130355835,28327936.0,28327936.0,0.0
0,2,4,5407,0.11699828505516052,0.0999564379453659,0.15365758538246155,0.2164187729358673,22147072.0,22147072.0,0.0
0,2,5,4788,0.07851303368806839,0.06980758160352707,0.09667348116636276,0.13113771378993988,19611648.0,19611648.0,0.0
0,2,6,4904,0.057924866676330566,0.05350518599152565,0.06982920318841934,0.09053163975477219,20086784.0,20086784.0,0.0
0,2,7,4928,0.047537509351968765,0.044630520045757294,0.05698304623365402,0.07154139876365662,20185088.0,20185088.0,0.0
0,2,8,5436,0.04185769334435463,0.03948955610394478,0.05050154775381088,0.06183978542685509,22265856.0,22265856.0,0.0
0,3,1,5108,0.26157617568969727,0.24243967235088348,0.31568360328674316,0.3940125107765198,20922368.0,20922368.0,0.0
0,3,2,5084,0.16305141150951385,0.15367305278778076,0.19313596189022064,0.23907001316547394,20824064.0,20824064.0,0.0
0,3,3,5240,0.12220588326454163,0.11438848823308945,0.14627406001091003,0.18459460139274597,21463040.0,21463040.0,0.0
0,3,4,5575,0.09533833712339401,0.09040140360593796,0.1134001761674881,0.13958771526813507,22835200.0,22835200.0,0.0
0,3,5,5552,0.076192706823349,0.07298335433006287,0.09182743728160858,0.11235520243644714,22740992.0,22740992.0,0.0
