sample_id,char_count,token_count_input,unique_token_ratio,token_id_entropy,adjacent_repeat_rate,early_route_top1_weight_mean,early_route_top1_weight_std,early_route_top1_top2_margin_mean,early_route_tail_mass_mean,early_route_routing_entropy_mean,early_route_rank1_hhi_mean,early_route_active_expert_fraction_mean,early_route_same_id_adjacent_layer_rate,full_route_top1_weight_mean,full_route_top1_weight_std,full_route_top1_top2_margin_mean,full_route_tail_mass_mean,full_route_routing_entropy_mean,full_route_rank1_hhi_mean,full_route_active_expert_fraction_mean,full_route_same_id_adjacent_layer_rate,full_mean_nll,full_sample_ppl,label_token_count,label_kl_sum,label_mean_token_kl
96,10668.0,128.0,0.7421875,4.419493952024457,0.0,0.2174692153930664,0.09856955707073212,0.0886232852935791,0.25219565629959106,0.8997187614440918,0.1561279296875,1.0,0.01875,0.20217370986938477,0.0858660414814949,0.07566887140274048,0.2632877230644226,0.9118945002555847,0.11142730712890625,1.0,0.024479166666666666,3.562953198049951,35.26719451718042,127,1.7442007064819336,0.013733863830566406
97,3422.0,128.0,0.546875,4.0424562566896824,0.0,0.2037820816040039,0.08717784285545349,0.07580971717834473,0.2607625722885132,0.9089561700820923,0.152587890625,0.998046875,0.041666666666666664,0.19891643524169922,0.07970957458019257,0.07038360834121704,0.26047271490097046,0.9121221303939819,0.13243865966796875,1.0,0.021875,1.9953917255551796,7.355083637871126,127,0.9755876660346985,0.007681792645942508
98,4700.0,128.0,0.6796875,4.257491663601515,0.0,0.21524715423583984,0.1000080481171608,0.08689236640930176,0.2511964440345764,0.8982033729553223,0.1832275390625,0.99609375,0.022916666666666665,0.20932650566101074,0.092989481985569,0.08234220743179321,0.25841981172561646,0.905694842338562,0.12841796875,1.0,0.020833333333333332,2.146093173289862,8.55138427446451,127,1.019048810005188,0.008024006377993605
99,3057.0,128.0,0.734375,4.399054571409652,0.0,0.1880359649658203,0.0824875459074974,0.06751894950866699,0.2807536721229553,0.9243936538696289,0.118896484375,0.994140625,0.025,0.19609618186950684,0.07378948479890823,0.06743162870407104,0.26170778274536133,0.914629340171814,0.1206207275390625,1.0,0.0265625,2.9369915338951773,18.859024146418037,127,1.0936495065689087,0.008611413437550463
100,6180.0,128.0,0.734375,4.366563297320905,0.0,0.17892169952392578,0.07281570136547089,0.055734872817993164,0.2782902121543884,0.9267455339431763,0.114501953125,0.998046875,0.041666666666666664,0.18579792976379395,0.06760261952877045,0.05880481004714966,0.2685750126838684,0.9217597246170044,0.1125030517578125,1.0,0.0203125,3.5198904923566685,33.780729013269934,127,0.9810702800750732,0.007724962835236797
101,3296.0,128.0,0.7265625,4.331016441379255,0.0,0.21761322021484375,0.0950508862733841,0.08296799659729004,0.24259060621261597,0.8942728042602539,0.139892578125,0.998046875,0.016666666666666666,0.19934415817260742,0.07871522754430771,0.06873220205307007,0.25695252418518066,0.910747766494751,0.11304473876953125,1.0,0.027604166666666666,2.7219002791277065,15.209196520370394,127,1.1168746948242188,0.00879428893562377
102,27222.0,128.0,0.640625,4.240005401051272,0.0,0.19301605224609375,0.0849730521440506,0.06879353523254395,0.2736549973487854,0.9186823964118958,0.15576171875,0.990234375,0.03333333333333333,0.19083666801452637,0.07888562977313995,0.0663725733757019,0.2693796753883362,0.9189460277557373,0.09893798828125,1.0,0.025,3.1313406876691685,22.904666971290325,127,1.2175214290618896,0.009586782905999132
103,41698.0,128.0,0.65625,4.221578330301942,0.007874015748031496,0.1713714599609375,0.0689706802368164,0.05474400520324707,0.293995201587677,0.9370026588439941,0.15625,0.994140625,0.04583333333333333,0.17284750938415527,0.0628027468919754,0.0526391863822937,0.2879757881164551,0.9344724416732788,0.09326934814453125,1.0,0.034375,2.8092122716227856,16.596839266869644,127,1.108811616897583,0.008730800133051836
104,3922.0,128.0,0.640625,4.226433593191,0.0,0.21881484985351562,0.09317366033792496,0.08659577369689941,0.24501365423202515,0.8949987888336182,0.1806640625,0.998046875,0.020833333333333332,0.2029738426208496,0.0836087018251419,0.07363158464431763,0.25829482078552246,0.908750057220459,0.11981201171875,1.0,0.025520833333333333,2.7302508016270917,15.336733015190578,127,1.33243727684021,0.010491632101104015
105,44107.0,128.0,0.5859375,4.101010454978969,0.0,0.1977701187133789,0.0859726145863533,0.07248139381408691,0.2628245949745178,0.912885844707489,0.1441650390625,1.0,0.016666666666666666,0.19313597679138184,0.07490964233875275,0.06493240594863892,0.2620305120944977,0.9155055284500122,0.11515045166015625,1.0,0.022916666666666665,2.592573991910679,13.364126523148606,127,0.9289601445198059,0.007314646807242566
