cell,repeat,regime,cap,telemetry,status,goodput_rps,slo_attainment,throughput_rps,n_completed,ttft_p50_s,tpot_p50_s,U_mean,C_mean
0,0,steady,6,False,COMPLETE,1.9715426623005763,1.0,1.9715426623005763,16,2.491412900388241,0.17146178695062797,,
1,0,steady,6,True,COMPLETE,1.6635201478068886,0.875,1.9011658832078726,16,2.7528841011226177,0.17557834610342982,0.4270426432291667,5.662152852552633
2,0,steady,8,False,COMPLETE,0.9291282688771364,0.4375,2.123721757433455,16,2.238066017627716,0.21002332729597886,,
3,0,steady,8,True,COMPLETE,1.097202502507487,0.5,2.194405005014974,16,1.9333063550293446,0.20105471424758434,0.49891786317567566,5.363529633025865
4,0,bursty,6,False,COMPLETE,1.965400468845802,1.0,1.965400468845802,16,2.5274562500417233,0.17116196689506372,,
5,0,bursty,6,True,COMPLETE,1.940280299860203,1.0,1.940280299860203,16,2.5223741475492716,0.1723058460901181,0.4270426432291667,5.662152852552633
6,0,bursty,8,False,COMPLETE,1.2650729331373947,0.5625,2.249018547799813,16,1.8869606647640467,0.19793732116619747,,
7,0,bursty,8,True,COMPLETE,0.8081379881501957,0.375,2.1550346350671883,16,2.0206116158515215,0.20332281924784185,0.49891786317567566,5.363529633025865
8,1,steady,8,True,COMPLETE,0.9493544524976334,0.4375,2.169953034280305,16,1.942124966531992,0.20211012500027814,0.49891786317567566,5.363529633025865
9,1,steady,8,False,COMPLETE,0.9379588841467718,0.4375,2.1439060209069067,16,1.967689136043191,0.20186967166761557,,
10,1,steady,6,True,COMPLETE,1.6403297824548169,0.875,1.8746626085197906,16,2.7935161013156176,0.17785172152022521,0.4270426432291667,5.662152852552633
11,1,steady,6,False,COMPLETE,1.8262954016769062,0.9375,1.9480484284553665,16,2.5913306269794703,0.1739568474392096,,
12,1,bursty,8,True,COMPLETE,0.9329884748804179,0.4375,2.132545085440955,16,2.1828343514353037,0.20999245444933573,0.49891786317567566,5.363529633025865
13,1,bursty,8,False,COMPLETE,0.9375652446845416,0.4375,2.143006273564666,16,1.934874003753066,0.20431680058439572,,
14,1,bursty,6,True,COMPLETE,1.7712188925675458,0.9375,1.889300152072049,16,2.5560557786375284,0.17425534476836524,0.4270426432291667,5.662152852552633
15,1,bursty,6,False,COMPLETE,1.953249472417047,1.0,1.953249472417047,16,2.5783296674489975,0.1714071417848269,,
