strategy,samples,seq_len,top_k,byte_saving,mean_ppl,mean_kl_vs_full,local_relative_mse,ppl_delta
full,32,128,8,0.0,15.008773133158684,0.0,0.0,0.0
fp8_r5678int4_tail,32,128,8,0.625,15.019235655665398,2.004670288413763,0.012031557795982997,0.010462522506713867
fp8_r1234int4_head,32,128,8,0.625,21.066576227545738,24.590967178344727,0.06686221665547945,6.057803094387054
fp8_r1357int4_odd,32,128,8,0.625,19.992841705679893,23.510475546121597,0.05052276174706118,4.98406857252121
