feature_group,n_features,selected_alpha_on_validation,validation_spearman,test_spearman,test_spearman_ci_low,test_spearman_ci_high,test_worst_decile_auc,test_worst_decile_recall_at_10pct,availability
length_only,1,0.0,0.0,0.0,0.0,0.0,0.5,0.25,arrival
arrival_lexical,5,1.0,0.2529411764705882,0.1348973607038123,-0.2025859457028288,0.44876565231616555,0.44642857142857145,0.0,arrival
early_router_plus_lexical,13,0.0,0.0058823529411764705,-0.08321114369501466,-0.4157113485350731,0.3055022409040521,0.32142857142857145,0.0,after_early_chunk
full_router_plus_lexical,13,0.1,0.3029411764705882,0.30021994134897356,-0.04361537620780324,0.5886135166987989,0.625,0.0,after_prefill
post_prefill_all,14,1.0,0.3294117647058824,0.376466275659824,0.04142567692024314,0.6343977435464404,0.7410714285714286,0.0,after_prefill
