strategy,samples,seq_len,top_k,byte_saving,mean_ppl,mean_kl_vs_full,local_relative_mse,ppl_delta
full,4,64,8,0.0,1268.3805046081543,0.0,0.0,0.0
uniform_int4,4,64,8,0.75,2585.4777297973633,8.331456065177917,0.07014791842754592,1317.097225189209
rankk_int4,4,64,8,0.09375,1206.3954544067383,0.07371173892170191,0.0006443279472980891,-61.985050201416016
rank1_int4,4,64,8,0.09375,1226.8136749267578,6.779443860054016,0.022005291593443107,-41.566829681396484
rankk_drop,4,64,8,0.125,1713.875605583191,0.31777915358543396,0.002516181535316887,445.4951009750366
rankk_drop_renorm,4,64,8,0.125,9055.415222167969,46.07826519012451,0.26897175912723775,7787.034717559814
rank1_drop,4,64,8,0.125,7645.307113647461,36.49596381187439,0.5800072479920774,6376.926609039307
