layer,rank,group_median_share_mean,group_median_share_min,group_median_share_max,group_median_share_cv,group_median_share_max_over_min,traffic_max_over_mean,traffic_max_over_min
0,1,0.26331502199172974,0.24243967235088348,0.3003525137901306,0.0855599392694478,1.2388752668970355,1.228471219310914,1.4571260767423648
0,2,0.17992058768868446,0.15367305278778076,0.229186549782753,0.16508793296458163,1.4913906220061546,1.3270063957086857,1.5814319433516917
0,3,0.13212775625288486,0.11438848823308945,0.15853527188301086,0.13831538530225562,1.3859372943190185,1.1414895811842376,1.3198473282442749
0,4,0.09657193347811699,0.09040140360593796,0.10487168282270432,0.0631605333344389,1.1600669750642665,1.2576851660821127,1.4092842611429628
0,5,0.07382560707628727,0.06980758160352707,0.079955093562603,0.050698401272452384,1.1453640382030255,1.326511244068496,1.6785714285714286
0,6,0.059755691327154636,0.05350518599152565,0.06465978175401688,0.06702370188405492,1.2084769084674882,1.359851454507943,1.6800570962479608
0,7,0.05034283176064491,0.044630520045757294,0.05310841649770737,0.06722458900460004,1.189957375429597,1.3704146894986589,1.6848620129870129
0,8,0.04450518265366554,0.03948955610394478,0.046593885868787766,0.06531868527303243,1.1799040168023895,1.2768310295027852,1.4312673450508788
1,1,0.2882353216409683,0.2736016511917114,0.3029834032058716,0.036161159089359046,1.1073887963986464,1.1403342273571282,1.3954756614825288
1,2,0.18437204882502556,0.1792115718126297,0.1915646493434906,0.024558664504407562,1.0689301332827792,1.091314214978337,1.176931292274831
1,3,0.13151123002171516,0.1268625557422638,0.13700316846370697,0.030035401854633593,1.0799338517351411,1.1778007014648235,1.343879472693032
1,4,0.09869080223143101,0.09622953087091446,0.1035398542881012,0.02990736408756625,1.0759675678663865,1.1774706003713638,1.3485822306238184
1,5,0.07604523375630379,0.0736016258597374,0.07988060265779495,0.03249741873749594,1.0853103002102618,1.1031978543428924,1.2437662820989952
1,6,0.062437715008854866,0.06068047508597374,0.06481491774320602,0.024868331740182742,1.0681346454749159,1.0894986589643079,1.1885127835794023
1,7,0.05386096239089966,0.05220232903957367,0.05520038679242134,0.020710442174810467,1.057431494111592,1.0398184443985972,1.0912870258098042
1,8,0.04801620729267597,0.04544185847043991,0.04959594085812569,0.03235980159707387,1.0914153277949232,1.0386630905714875,1.0857487922705313
2,1,0.26878707855939865,0.2574668526649475,0.2777542173862457,0.02704486806016126,1.0787960256293614,1.509717350938725,2.67612638970158
2,2,0.18535317108035088,0.17385610938072205,0.19320712983608246,0.03874801458981333,1.111304805590606,1.3237053847740872,1.703845336732526
2,3,0.13789479061961174,0.1280258446931839,0.14603957533836365,0.04703353201956057,1.1407038609145674,1.0969259335671548,1.2508940335027292
2,4,0.10436307266354561,0.09741348028182983,0.1075979620218277,0.03883659893034846,1.1045489978443725,1.0909841138848773,1.1505657093124455
2,5,0.07990671321749687,0.07315005362033844,0.08553647249937057,0.06028186719156592,1.1693289104519295,1.1025376521559727,1.223891535360938
2,6,0.06517954170703888,0.059913985431194305,0.06905435770750046,0.052801123611690176,1.1525582417948648,1.2317722302455127,1.5522046589018303
2,7,0.05525633879005909,0.050620660185813904,0.05908312276005745,0.05812444781074381,1.1671740855054098,1.1358778625954198,1.4134319162045594
2,8,0.04880519490689039,0.04567838832736015,0.05287915840744972,0.05987861940867835,1.1576406336511766,1.1165669486280174,1.2668539325842696
3,1,0.270640604197979,0.2590763568878174,0.2815563678741455,0.03759177665512703,1.0867698282327716,1.1989271714462555,1.348181143281366
3,2,0.18296467140316963,0.17438684403896332,0.18704204261302948,0.02762345797855621,1.0725696863419274,1.1627811017123995,1.2874634502923976
3,3,0.13904524222016335,0.1304340809583664,0.14397010207176208,0.0385283595926711,1.103776720117469,1.1352176604085,1.3542035833825556
3,4,0.10815594159066677,0.10569068789482117,0.1127166822552681,0.025164469895916013,1.0664769479733058,1.2009077780070148,1.3788137199166193
3,5,0.08419099822640419,0.08211227506399155,0.08807232230901718,0.028205725018049313,1.0725841202229613,1.2712193109139673,1.6045833333333333
3,6,0.06764807365834713,0.0645403265953064,0.07246466726064682,0.04450991933495291,1.1227812297112967,1.3194140705591086,1.8934154429180483
3,7,0.05687651876360178,0.05296805873513222,0.06107906252145767,0.050736451684577105,1.1531300934943582,1.336579327419022,1.9940901255848313
3,8,0.049795947037637234,0.046586304903030396,0.05388255789875984,0.053160487133678005,1.1566179805613823,1.305384774087064,1.9817088449010274
4,1,0.2406575046479702,0.2206907570362091,0.2515237033367157,0.04925904036304563,1.1397110903717993,1.2241799050959357,1.578420940625665
4,2,0.17562447115778923,0.16467975080013275,0.18032468855381012,0.03621812863444748,1.0950021947304571,1.1527130183618732,1.2957328385899813
