model,origin_mode,saving_basis,harm_basis,lambda_low,lambda_high,winners,fine_online_wins,coarse_only
llmjp,hotspot,simulated_saving_fraction,incremental_accuracy_harm_ucb95,0.6455693835025803,7.576715163456673,causal_no_hysteresis,True,False
llmjp,hotspot,simulated_saving_fraction,incremental_accuracy_harm_ucb95,7.576715163456673,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.0,1.1142680788611683e-06,calib_static;uniform_low,False,True
llmjp,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,1.1142680788611683e-06,0.09834790363393178,calib_static,False,True
llmjp,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.09834790363393178,0.09835871508175244,calib_static;causal_no_hysteresis,True,False
llmjp,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.09835871508175244,1.0773141873039958,causal_no_hysteresis,True,False
llmjp,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,1.0773141873039958,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,0.0,1.1142680788611715e-06,calib_static;uniform_low,False,True
llmjp,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,1.1142680788611715e-06,0.0983479036339317,calib_static,False,True
llmjp,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,0.0983479036339317,0.09835871508175248,calib_static;causal_no_hysteresis,True,False
llmjp,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,0.09835871508175248,0.5386570936519978,causal_no_hysteresis,True,False
llmjp,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,0.5386570936519978,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.0,4.692973543348559e-06,calib_static;uniform_low,False,True
llmjp,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,4.692973543348559e-06,3.7131795609171587,calib_static,False,True
llmjp,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,3.7131795609171587,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.0,2.0948725953702104e-06,calib_static;uniform_low,False,True
llmjp,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,2.0948725953702104e-06,0.84114861247659,calib_static,False,True
llmjp,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.84114861247659,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm_ucb95,0.0,1.6734322371651857e-06,calib_static;uniform_low,False,True
