model,origin_mode,saving_basis,harm_basis,lambda,winner,winner_reward,reward_uniform_full,reward_uniform_low,reward_calib_static,reward_causal_no_hysteresis,reward_controller
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm,0.0,uniform_low,0.2925518818425753,0.0,0.2925518818425753,-0.0723047576824664,0.0535969221660295,0.2063979796947471
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm,0.1,uniform_low,0.2909893818425753,0.0,0.2909893818425753,-0.0730860076824664,0.052815672166029504,0.2056167296947471
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm,0.2,uniform_low,0.2894268818425753,0.0,0.2894268818425753,-0.0738672576824664,0.0520344221660295,0.2048354796947471
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm,0.5,uniform_low,0.2847393818425753,0.0,0.2847393818425753,-0.0762110076824664,0.0496906721660295,0.2024917296947471
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm,1.0,uniform_low,0.2769268818425753,0.0,0.2769268818425753,-0.0801172576824664,0.0457844221660295,0.1985854796947471
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm,2.0,uniform_low,0.2613018818425753,0.0,0.2613018818425753,-0.0879297576824664,0.0379719221660295,0.1907729796947471
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm,5.0,uniform_low,0.2144268818425753,0.0,0.2144268818425753,-0.1113672576824664,0.014534422166029501,0.1673354796947471
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm,10.0,uniform_low,0.1363018818425753,0.0,0.1363018818425753,-0.15042975768246641,-0.0245280778339705,0.1282729796947471
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,0.0,uniform_low,0.2925518818425753,0.0,0.2925518818425753,-0.0723047576824664,0.0535969221660295,0.2063979796947471
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,0.1,uniform_low,0.2863018818425753,0.0,0.2863018818425753,-0.0762110076824664,0.0473469221660295,0.2009292296947471
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,0.2,uniform_low,0.2800518818425753,0.0,0.2800518818425753,-0.0801172576824664,0.041096922166029504,0.1954604796947471
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,0.5,uniform_low,0.2613018818425753,0.0,0.2613018818425753,-0.0918360076824664,0.0223469221660295,0.1790542296947471
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,1.0,uniform_low,0.2300518818425753,0.0,0.2300518818425753,-0.1113672576824664,-0.008903077833970499,0.1517104796947471
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,2.0,uniform_low,0.1675518818425753,0.0,0.1675518818425753,-0.15042975768246641,-0.0714030778339705,0.0970229796947471
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,5.0,uniform_full,0.0,0.0,-0.0199481181574247,-0.2676172576824664,-0.2589030778339705,-0.0670395203052529
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,10.0,uniform_full,0.0,0.0,-0.3324481181574247,-0.4629297576824664,-0.5714030778339705,-0.3404770203052529
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.0,uniform_low,0.2925518818425753,0.0,0.2925518818425753,-0.0723047576824664,0.0535969221660295,0.2063979796947471
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.1,uniform_low,0.24639803568872914,0.0,0.24639803568872914,-0.09538168075938946,0.0074430760121833445,0.16024413354090095
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.2,uniform_low,0.200244189534883,0.0,0.200244189534883,-0.11845860383631254,-0.03871077014166281,0.11409028738705479
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.5,uniform_low,0.06178265107334455,0.0,0.06178265107334455,-0.18768937306708175,-0.17717230860320127,-0.024371251074483652
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,1.0,uniform_full,0.0,0.0,-0.1689865796958862,-0.3030739884516971,-0.407941539372432,-0.2551404818437144
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,2.0,uniform_full,0.0,0.0,-0.6305250412343477,-0.5338432192209278,-0.8694800009108935,-0.7166789433821759
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,5.0,uniform_full,0.0,0.0,-2.015140425849732,-1.22615091152862,-2.254095385526278,-2.1012943279975604
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,10.0,uniform_full,0.0,0.0,-4.32283273354204,-2.3799970653747735,-4.5617876932185855,-4.4089866356898675
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,0.0,uniform_low,0.2925518818425753,0.0,0.2925518818425753,-0.0723047576824664,0.0535969221660295,0.2063979796947471
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,0.1,uniform_low,0.20793649722719068,0.0,0.20793649722719068,-0.12615091152862024,-0.023326154757047426,0.12178259507936248
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,0.2,uniform_low,0.12332111261180606,0.0,0.12332111261180606,-0.1799970653747741,-0.10024923168012435,0.03716721046397786
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,0.5,uniform_full,0.0,0.0,-0.13052504123434777,-0.34153552691323563,-0.3310184624493551,-0.21667894338217597
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,1.0,uniform_full,0.0,0.0,-0.5536019643112708,-0.6107662961440048,-0.7156338470647398,-0.639755866459099
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,2.0,uniform_full,0.0,0.0,-1.399755810465117,-1.1492278346055433,-1.484864616295509,-1.4859097126129452
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,5.0,uniform_full,0.0,0.0,-3.9382173489266554,-2.7646124499901585,-3.7925569239878167,-4.024371251074483
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,10.0,uniform_full,0.0,0.0,-8.168986579695886,-5.45692014229785,-7.638710770141663,-8.255140481843714
llmjp,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.0,uniform_low,0.2925518818425753,0.0,0.2925518818425753,-0.0723047576824664,0.0535969221660295,0.2063979796947471
llmjp,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.1,uniform_low,0.2781738151090958,0.0,0.2781738151090958,-0.083041545094782,0.04479833028031378,0.1918763857217065
llmjp,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.2,uniform_low,0.2637957483756163,0.0,0.2637957483756163,-0.0937783325070976,0.03599973839459806,0.17735479174866595
llmjp,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.5,uniform_low,0.2206615481751778,0.0,0.2206615481751778,-0.1259886947440444,0.0096039627374509,0.1337900098295442
llmjp,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,1.0,uniform_low,0.1487712145077803,0.0,0.1487712145077803,-0.1796726318056224,-0.0343889966911277,0.061182039964341295
llmjp,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,2.0,uniform_low,0.004990547172985305,0.0,0.004990547172985305,-0.2870405059287784,-0.1223749155482849,-0.08403389976606451
llmjp,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,5.0,uniform_full,0.0,0.0,-0.4263514548313997,-0.6091441282982464,-0.3863326721197565,-0.519681718957282
llmjp,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,10.0,uniform_full,0.0,0.0,-1.1452547915053746,-1.1459834989140265,-0.8262622664055426,-1.245761417609311
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.0,uniform_low,0.2925518818425753,0.0,0.2925518818425753,-0.0723047576824664,0.0535969221660295,0.2063979796947471
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.1,uniform_low,0.24059623877558217,0.0,0.24059623877558217,-0.12282153545463625,0.014264401204268029,0.15043003070781333
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.2,uniform_low,0.18864059570858904,0.0,0.18864059570858904,-0.1733383132268061,-0.025068119757493443,0.09446208172087954
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.5,uniform_low,0.032773666507609656,0.0,0.032773666507609656,-0.3248886465433157,-0.14306568264277786,-0.0734417652399218
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,1.0,uniform_full,0.0,0.0,-0.227004548827356,-0.5774725354041649,-0.3397282874515852,-0.3532815101745907
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,2.0,uniform_full,0.0,0.0,-0.7465609794972873,-1.0826403131258635,-0.7330534970691999,-0.9129610000439285
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,5.0,uniform_full,0.0,0.0,-2.305230271507081,-2.5981436462909593,-1.913029125922044,-2.591999469651942
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,10.0,uniform_full,0.0,0.0,-4.903012424856738,-5.123982534899452,-3.8796551740101175,-5.390396918998631
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm_ucb95,0.0,uniform_low,0.2925518818425753,0.0,0.2925518818425753,-0.0723047576824664,0.0535969221660295,0.2063979796947471
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm_ucb95,0.1,uniform_low,0.23556825377588883,0.0,0.23556825377588883,-0.13020206152046265,0.001019053786950122,0.1426468791637559
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm_ucb95,0.2,uniform_low,0.17858462570920236,0.0,0.17858462570920236,-0.18809936535845895,-0.05155881459212926,0.07889577863276473
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm_ucb95,0.5,uniform_low,0.007633741509142922,0.0,0.007633741509142922,-0.3617912768724477,-0.20929241972936735,-0.11235752296020879
