strategy,samples,seq_len,top_k,byte_saving,mean_ppl,mean_kl_vs_full,local_relative_mse
full,32,128,8,0.0,15.008773133158684,0.0,0.0
uniform_fp8,32,128,8,0.5,14.954529091715813,0.29258059058338404,0.0003151335523461948
fp8_r8int4,32,128,8,0.53125,15.0409467369318,0.4954719503875822,0.0015743021367952861
fp8_r78int4,32,128,8,0.5625,14.986920282244682,0.830673448741436,0.003672230507800881
fp8_r678int4,32,128,8,0.59375,15.107217490673065,1.2820119624957442,0.007034768502289587
fp8_r5678int4,32,128,8,0.625,15.019235655665398,2.004670288413763,0.012031557795982997
fp8_r345678int4,32,128,8,0.6875,15.424226328730583,4.494781546294689,0.02881408937364338
uniform_int4,32,128,8,0.75,21.686980038881302,27.152188777923584,0.08581794429306829
