phase,batch_size,num_moe_layers,max_single_layer_share,top4_layer_share,layer_latency_cv
decode,1,16,0.06431982532,0.25264305634,0.00845269430623
decode,4,16,0.0659090791325,0.261074358796,0.0360641510781
decode,8,16,0.0653133395958,0.258562044763,0.0317442999362
prefill,1,16,0.0645865804947,0.253339964374,0.0102288617964
prefill,4,16,0.0633586847218,0.25312867424,0.0111673797601
prefill,8,16,0.063829102731,0.25392240625,0.0135757323867
