strategy,sample_id,token_count,nll_sum,mean_nll,sample_ppl,kl_sum,mean_token_kl
full,128,34,117.61363983154297,3.4592247009277344,31.79231840223456,0.0,0.0
full,129,49,165.80099487304688,3.383693772919324,29.47946068596782,0.0,0.0
uniform_fp8,128,34,116.98902893066406,3.4408537920783546,31.213596716414013,0.08958283066749573,0.0026347891372792863
uniform_fp8,129,49,165.35543823242188,3.3746007802535076,29.21261919859316,0.2445821613073349,0.004991472679741529
rank_tail4_mxfp4,128,34,116.25694274902344,3.4193218455595127,30.548691264258657,0.1550445407629013,0.004560133551850039
rank_tail4_mxfp4,129,49,165.25790405273438,3.3726102867904975,29.15452950379942,0.34446847438812256,0.007029968865063726
gate_threshold_mxfp4,128,34,117.05311584472656,3.4427387013154873,31.272486997170148,0.1522805094718933,0.004478838513879215
gate_threshold_mxfp4,129,49,165.82960510253906,3.3842776551538583,29.496678245370383,0.33390143513679504,0.006814315002791735
gate_tailmass_mxfp4,128,34,117.18660736083984,3.4466649223776424,31.395511046053574,0.13098126649856567,0.0038523901911342844
gate_tailmass_mxfp4,129,49,165.72930908203125,3.3822307975924746,29.436364494354475,0.3062974512577057,0.006250968393014401
contribution_tail4_mxfp4_oracle,128,34,117.28727722167969,3.4496258006376377,31.488607087180554,0.139055535197258,0.004089868682272294
contribution_tail4_mxfp4_oracle,129,49,165.1802978515625,3.371026486766582,29.10839110591644,0.28755107522010803,0.005868389290206286
head4_mxfp4_control,128,34,119.85860443115234,3.5252530715044808,33.96236743619901,2.478099822998047,0.07288528891170726
head4_mxfp4_control,129,49,167.28338623046875,3.413946657764668,30.38492683839685,4.958252429962158,0.10118882510126853
