tokens,eligible_tokens,eligibility_rate,k_remote,d_remote,c_remote,d_total,eligible_k_remote,eligible_credit_units,remote_credit_units,remote_collided_residual_rms_mean,late_bf16_n32,late_bf16_logical_payload_bytes,late_bf16_minimal_bitmap_bytes,late_bf16_scale_bytes,late_bf16_payload_cap_all,stock_early_bf16_n32,stock_early_bf16_logical_payload_bytes,stock_early_bf16_minimal_bitmap_bytes,stock_early_bf16_scale_bytes,stock_early_bf16_payload_cap_all,clean_early_bf16_n32,clean_early_bf16_logical_payload_bytes,clean_early_bf16_minimal_bitmap_bytes,clean_early_bf16_scale_bytes,clean_early_bf16_payload_cap_all,uniform_early_fp32_n32,uniform_early_fp32_logical_payload_bytes,uniform_early_fp32_minimal_bitmap_bytes,uniform_early_fp32_scale_bytes,uniform_early_fp32_payload_cap_all,pd_full_n32,pd_full_logical_payload_bytes,pd_full_minimal_bitmap_bytes,pd_full_scale_bytes,pd_full_payload_cap_all,uniform_early_fp8_n32,uniform_early_fp8_logical_payload_bytes,uniform_early_fp8_minimal_bitmap_bytes,uniform_early_fp8_scale_bytes,uniform_early_fp8_payload_cap_all,pd_gated_n32,pd_gated_logical_payload_bytes,pd_gated_minimal_bitmap_bytes,pd_gated_scale_bytes,pd_gated_payload_cap_all,sample_id,layer,selected_endpoint
256,251,0.98046875,1030,256,252,511,1018,767,774,3.025104888365604e-06,0,4218880,0,0,True,0,1048576,0,0,True,0,1048576,0,0,True,256,2097152,0,0,False,252,2080768,0,0,True,0,524288,0,1024,True,0,1077248,251,0,True,1,0,late_bf16
256,240,0.9375,1033,256,244,508,989,749,777,3.465991767370724e-06,0,4231168,0,0,True,0,1048576,0,0,True,0,1048576,0,0,True,256,2097152,0,0,False,244,2048000,0,0,True,0,524288,0,1024,True,0,1163264,240,0,True,1,1,late_bf16
256,240,0.9375,1021,255,242,509,992,752,766,4.10119719163049e-06,0,4182016,0,0,True,0,1044480,0,0,True,0,1044480,0,0,True,255,2088960,0,0,False,242,2035712,0,0,True,0,522240,0,1020,True,0,1101824,240,0,True,1,2,late_bf16
256,248,0.96875,1015,256,250,510,993,745,759,4.46650756202871e-06,0,4157440,0,0,True,0,1048576,0,0,True,0,1048576,0,0,True,256,2097152,0,0,False,250,2072576,0,0,True,0,524288,0,1024,True,0,1105920,248,0,True,1,3,late_bf16
256,252,0.984375,1053,256,252,512,1049,797,797,6.732864221703494e-06,0,4313088,0,0,True,0,1048576,0,0,True,0,1048576,0,0,True,256,2097152,0,0,False,252,2080768,0,0,True,0,524288,0,1024,True,0,1048576,252,0,True,1,4,late_bf16
256,253,0.98828125,1011,256,253,512,1008,755,755,7.342197932302952e-06,0,4141056,0,0,True,0,1048576,0,0,True,0,1048576,0,0,True,256,2097152,0,0,False,253,2084864,0,0,True,0,524288,0,1024,True,0,1048576,253,0,True,1,5,late_bf16
256,253,0.98828125,1047,256,253,512,1044,791,791,8.33618742035469e-06,0,4288512,0,0,True,0,1048576,0,0,True,0,1048576,0,0,True,256,2097152,0,0,False,253,2084864,0,0,True,0,524288,0,1024,True,0,1048576,253,0,True,1,6,late_bf16
256,241,0.94140625,1003,254,242,509,983,742,749,9.726538337417878e-06,0,4108288,0,0,True,0,1040384,0,0,True,0,1040384,0,0,True,254,2080768,0,0,False,242,2031616,0,0,True,0,520192,0,1016,True,0,1069056,241,0,True,1,7,late_bf16
256,243,0.94921875,1045,254,245,508,1020,777,791,1.152700133388862e-05,0,4280320,0,0,True,0,1040384,0,0,True,0,1040384,0,0,True,254,2080768,0,0,False,245,2043904,0,0,True,0,520192,0,1016,True,0,1097728,243,0,True,1,8,late_bf16
256,250,0.9765625,1041,256,250,512,1035,785,785,1.7027925423462875e-05,0,4263936,0,0,True,0,1048576,0,0,True,0,1048576,0,0,True,256,2097152,0,0,False,250,2072576,0,0,True,0,524288,0,1024,True,0,1048576,250,0,True,1,9,late_bf16
256,240,0.9375,1001,250,241,505,984,744,751,2.3135025912779383e-05,0,4100096,0,0,True,0,1024000,0,0,True,0,1024000,0,0,True,250,2048000,0,0,False,241,2011136,0,0,True,0,512000,0,1000,True,0,1052672,240,0,True,1,10,late_bf16
256,252,0.984375,1004,256,252,512,1000,748,748,2.9700509912800044e-05,0,4112384,0,0,True,0,1048576,0,0,True,0,1048576,0,0,True,256,2097152,0,0,False,252,2080768,0,0,True,0,524288,0,1024,True,0,1048576,252,0,True,1,11,late_bf16
256,253,0.98828125,982,256,253,512,979,726,726,4.357140642241575e-05,0,4022272,0,0,True,0,1048576,0,0,True,0,1048576,0,0,True,256,2097152,0,0,False,253,2084864,0,0,True,0,524288,0,1024,True,0,1048576,253,0,True,1,12,late_bf16
256,248,0.96875,1036,255,248,511,1029,781,781,5.547511682379991e-05,0,4243456,0,0,True,0,1044480,0,0,True,0,1044480,0,0,True,255,2088960,0,0,False,248,2060288,0,0,True,0,522240,0,1020,True,0,1044480,248,0,True,1,13,late_bf16
256,253,0.98828125,1027,256,253,512,1024,771,771,7.404285133816302e-05,0,4206592,0,0,True,0,1048576,0,0,True,0,1048576,0,0,True,256,2097152,0,0,False,253,2084864,0,0,True,0,524288,0,1024,True,0,1048576,253,0,True,1,14,late_bf16
256,253,0.98828125,1037,256,253,512,1034,781,781,0.00011361871293047443,0,4247552,0,0,True,0,1048576,0,0,True,0,1048576,0,0,True,256,2097152,0,0,False,253,2084864,0,0,True,0,524288,0,1024,True,0,1048576,253,0,True,1,15,late_bf16
