sample_id,char_count,token_count_input,unique_token_ratio,token_id_entropy,adjacent_repeat_rate,early_route_top1_weight_mean,early_route_top1_weight_std,early_route_top1_top2_margin_mean,early_route_tail_mass_mean,early_route_routing_entropy_mean,early_route_rank1_hhi_mean,early_route_active_expert_fraction_mean,early_route_same_id_adjacent_layer_rate,full_route_top1_weight_mean,full_route_top1_weight_std,full_route_top1_top2_margin_mean,full_route_tail_mass_mean,full_route_routing_entropy_mean,full_route_rank1_hhi_mean,full_route_active_expert_fraction_mean,full_route_same_id_adjacent_layer_rate,full_mean_nll,full_sample_ppl,label_token_count,label_kl_sum,label_mean_token_kl
0,8778.0,128.0,0.640625,4.126380520057378,0.0,0.20231914520263672,0.09279482066631317,0.07759451866149902,0.2627190053462982,0.909615159034729,0.1302490234375,1.0,0.022916666666666665,0.20235729217529297,0.0804804340004921,0.07325154542922974,0.2582821249961853,0.9096282720565796,0.1457366943359375,1.0,0.026041666666666668,2.0610690379705954,7.854361934912507,127,1.1158254146575928,0.00878602688706766
1,23723.0,128.0,0.6953125,4.333531230510269,0.0,0.2077035903930664,0.08770667761564255,0.0800788402557373,0.25166910886764526,0.9047234058380127,0.1766357421875,0.99609375,0.03333333333333333,0.198594331741333,0.07827316224575043,0.07242625951766968,0.25993990898132324,0.9129955768585205,0.1256103515625,1.0,0.023958333333333335,2.5642522376353347,12.99094060036981,127,1.0219149589538574,0.008046574479951633
2,6446.0,128.0,0.6484375,4.258259050369415,0.0,0.1935253143310547,0.08221929520368576,0.06903815269470215,0.27230650186538696,0.9191076755523682,0.1282958984375,1.0,0.022916666666666665,0.18704533576965332,0.0724017396569252,0.0621759295463562,0.27367860078811646,0.922881007194519,0.10109710693359375,1.0,0.0203125,2.836938092089075,17.063438789968206,127,0.9555473923683167,0.007523995215498556
3,10036.0,128.0,0.546875,3.988758215221232,0.0,0.1901988983154297,0.08255692571401596,0.06685566902160645,0.2743576765060425,0.9209992289543152,0.13037109375,1.0,0.03958333333333333,0.19039344787597656,0.07934203743934631,0.06798785924911499,0.2751657962799072,0.9219842553138733,0.103790283203125,1.0,0.0265625,2.494160569558932,12.111562436030832,127,1.1778240203857422,0.009274204884927103
4,9129.0,128.0,0.65625,4.2121959684193975,0.0,0.1995077133178711,0.09077997505664825,0.0729982852935791,0.2640848159790039,0.9106099009513855,0.11865234375,0.99609375,0.022916666666666665,0.19251036643981934,0.07663507014513016,0.06345158815383911,0.26120901107788086,0.9144121408462524,0.09926605224609375,1.0,0.028645833333333332,2.7317444808839815,15.359658292407005,127,1.0380361080169678,0.008173512661550928
5,22095.0,128.0,0.59375,4.140156672986932,0.0,0.18944358825683594,0.08384455740451813,0.06532883644104004,0.2700831890106201,0.9189777374267578,0.1212158203125,1.0,0.041666666666666664,0.18429017066955566,0.07007204741239548,0.0600551962852478,0.27404361963272095,0.9242121577262878,0.11392974853515625,1.0,0.033854166666666664,2.347215547336368,10.456413762713511,127,0.9498664736747742,0.007479263572242316
6,9844.0,128.0,0.7421875,4.415946868628184,0.0,0.20055866241455078,0.105805404484272,0.07773518562316895,0.27001190185546875,0.9118283987045288,0.1214599609375,1.0,0.020833333333333332,0.1799612045288086,0.07390846312046051,0.05826765298843384,0.2802993655204773,0.9279829263687134,0.0684356689453125,1.0,0.021875,3.326118289016363,27.830103346300312,127,1.013668417930603,0.00798164108606774
7,20011.0,128.0,0.671875,4.256825846693181,0.0,0.22118377685546875,0.09546328336000443,0.08710360527038574,0.24273616075515747,0.8937821984291077,0.1607666015625,0.9921875,0.035416666666666666,0.1994798183441162,0.0773114487528801,0.06739932298660278,0.25266337394714355,0.9088940024375916,0.12857818603515625,1.0,0.0296875,2.2966753141147884,9.941076495143912,127,0.8091546297073364,0.006371296296908161
8,77296.0,128.0,0.5859375,4.057930209371452,0.0,0.21025371551513672,0.10749544203281403,0.08640527725219727,0.26311880350112915,0.9058043956756592,0.189697265625,1.0,0.016666666666666666,0.1849503517150879,0.07792063057422638,0.06223738193511963,0.27475646138191223,0.9239488244056702,0.09433746337890625,1.0,0.022916666666666665,1.9351356085829847,6.924983078849532,127,0.9394329786300659,0.007397110067953275
9,13138.0,128.0,0.625,4.081894112989428,0.0,0.22716903686523438,0.10602247714996338,0.09607815742492676,0.24221104383468628,0.8899030089378357,0.160888671875,1.0,0.025,0.19782590866088867,0.08365785330533981,0.0712018609046936,0.26201391220092773,0.9129575490951538,0.08829498291015625,1.0,0.025,2.433363065944882,11.397147057252164,127,0.9877533912658691,0.007777585757998969
