mode,layer,pairs,revisits,revisit_rate,same_rank_revisit_rate,payload_bytes,payload_bytes_per_pair,residual_to_raw_energy,direct_hit_rel_mse,temporal_hit_rel_mse,combine_relative_mse,sample_id,token_count,mean_nll,mean_token_kl,saving_vs_bf16
full,all,5120,3090,0.603515625,0.053515625,5242880,1024.0,4.962072568723125,0.01496844293891902,0.11358012013827232,0.0,0,19,5.497484709087171,0.0,0.0
uniform_fp8,all,5120,3090,0.603515625,0.05234375,2641920,516.0,4.915776313595309,0.015013413545662203,0.11383058818812385,0.0003374098234840618,0,19,5.364885029039885,0.030962878151943807,0.49609375
uniform_mxfp4,all,5120,3085,0.6025390625,0.0564453125,1392640,272.0,4.639189660598525,0.014863050119197533,0.11139948988144625,0.014576907178360335,0,19,5.390171653346012,0.3506543510838559,0.734375
revisit_abs_mxfp4,all,5120,3085,0.6025390625,0.054296875,1889820,369.10546875,4.918764258187042,0.014915986064296673,0.11409572789353324,0.0004134114553170529,0,19,5.302096316688939,0.04277164057681435,0.6395454406738281
temporal_delta_mxfp4,all,5120,3121,0.6095703125,0.0564453125,1881036,367.38984375,4.764147397621426,0.014987287706222057,0.10990883131824274,0.0006678754096280921,0,19,5.499017815840872,0.1360811810744436,0.6412208557128907
