mode,rows,hidden,baseline_wire_bytes,policy_wire_bytes,pack_us_p50,pack_us_p95,unpack_us_p50,unpack_us_p95,h2d_us_p50,h2d_us_p95,codec_total_us_p50,codec_total_us_p95,pack_us,unpack_us,h2d_us,break_even_gbps,timing_source,p95_note,baseline_wire_us_100gbps,policy_wire_us_100gbps,net_delta_us_100gbps_p50,net_delta_us_100gbps_p95,baseline_wire_us_200gbps,policy_wire_us_200gbps,net_delta_us_200gbps_p50,net_delta_us_200gbps_p95,baseline_wire_us_400gbps,policy_wire_us_400gbps,net_delta_us_400gbps_p50,net_delta_us_400gbps_p95,baseline_wire_us_800gbps,policy_wire_us_800gbps,net_delta_us_800gbps_p50,net_delta_us_800gbps_p95,note
baseline_bf16,32,2048,131072.0,131072.0,0.0,0.0,0.0,0.0,11.264,11.264,0.0,0.0,0.0,0.0,11.264,0.0,autodl_rtx5090_stdout_p50_2026-07-21,p95 columns mirrored from p50 because full sample arrays were not re-fetched,10.48576,10.48576,0.0,0.0,5.2428799999999995,5.2428799999999995,0.0,0.0,2.62144,2.62144,0.0,0.0,1.31072,1.31072,0.0,0.0,
homo_fp8,32,2048,131072.0,65664.0,24.192,24.192,23.584,23.584,11.264,11.264,59.03999999999999,59.03999999999999,24.192,23.584,11.264,8.862872628726288,autodl_rtx5090_stdout_p50_2026-07-21,p95 columns mirrored from p50 because full sample arrays were not re-fetched,10.48576,5.25312,-53.80736,-53.80736,5.2428799999999995,2.62656,-56.42367999999999,-56.42367999999999,2.62144,1.31328,-57.73183999999999,-57.73183999999999,1.31072,0.65664,-58.38591999999999,-58.38591999999999,
homo_int4,32,2048,131072.0,32896.0,23.328,23.328,23.232,23.232,11.2,11.2,57.760000000000005,57.760000000000005,23.328,23.232,11.2,13.597783933518006,autodl_rtx5090_stdout_p50_2026-07-21,p95 columns mirrored from p50 because full sample arrays were not re-fetched,10.48576,2.63168,-49.90592000000001,-49.90592000000001,5.2428799999999995,1.31584,-53.83296000000001,-53.83296000000001,2.62144,0.65792,-55.79648,-55.79648,1.31072,0.32896,-56.77824,-56.77824,
baseline_bf16,128,2048,524288.0,524288.0,0.0,0.0,0.0,0.0,13.952,13.952,0.0,0.0,0.0,0.0,13.952,0.0,autodl_rtx5090_stdout_p50_2026-07-21,p95 columns mirrored from p50 because full sample arrays were not re-fetched,41.94304,41.94304,0.0,0.0,20.97152,20.97152,0.0,0.0,10.48576,10.48576,0.0,0.0,5.2428799999999995,5.2428799999999995,0.0,0.0,
homo_fp8,128,2048,524288.0,262656.0,23.968,23.968,23.296,23.296,11.072,11.072,58.336,58.336,23.968,23.296,11.072,35.87931980252331,autodl_rtx5090_stdout_p50_2026-07-21,p95 columns mirrored from p50 because full sample arrays were not re-fetched,41.94304,21.01248,-37.40544,-37.40544,20.97152,10.50624,-47.87072,-47.87072,10.48576,5.25312,-53.10336,-53.10336,5.2428799999999995,2.62656,-55.71968,-55.71968,
homo_int4,128,2048,524288.0,131584.0,23.424,23.424,23.44,23.44,11.232,11.232,58.096,58.096,23.424,23.44,11.232,54.076562930322225,autodl_rtx5090_stdout_p50_2026-07-21,p95 columns mirrored from p50 because full sample arrays were not re-fetched,41.94304,10.52672,-26.679680000000005,-26.679680000000005,20.97152,5.26336,-42.38784,-42.38784,10.48576,2.63168,-50.24192000000001,-50.24192000000001,5.2428799999999995,1.31584,-54.168960000000006,-54.168960000000006,
baseline_bf16,512,2048,2097152.0,2097152.0,0.0,0.0,0.0,0.0,41.952,41.952,0.0,0.0,0.0,0.0,41.952,0.0,autodl_rtx5090_stdout_p50_2026-07-21,p95 columns mirrored from p50 because full sample arrays were not re-fetched,167.77216,167.77216,0.0,0.0,83.88607999999999,83.88607999999999,0.0,0.0,41.94304,41.94304,0.0,0.0,20.97152,20.97152,0.0,0.0,
homo_fp8,512,2048,2097152.0,1050624.0,24.192,24.192,23.36,23.36,23.424,23.424,70.976,70.976,24.192,23.36,23.424,117.9585211902615,autodl_rtx5090_stdout_p50_2026-07-21,p95 columns mirrored from p50 because full sample arrays were not re-fetched,167.77216,84.04992,12.746239999999986,12.746239999999986,83.88607999999999,42.02496,-29.114880000000007,-29.114880000000007,41.94304,21.01248,-50.04544,-50.04544,20.97152,10.50624,-60.51072,-60.51072,
homo_int4,512,2048,2097152.0,526336.0,23.68,23.68,23.52,23.52,13.984,13.984,61.184000000000005,61.184000000000005,23.68,23.52,13.984,205.3891213389121,autodl_rtx5090_stdout_p50_2026-07-21,p95 columns mirrored from p50 because full sample arrays were not re-fetched,167.77216,42.10688,64.48128,64.48128,83.88607999999999,21.05344,1.6486399999999932,1.6486399999999932,41.94304,10.52672,-29.76768000000001,-29.76768000000001,20.97152,5.26336,-45.475840000000005,-45.475840000000005,
baseline_bf16,2048,2048,8388608.0,8388608.0,0.0,0.0,0.0,0.0,153.504,153.504,0.0,0.0,0.0,0.0,153.504,0.0,autodl_rtx5090_stdout_p50_2026-07-21,p95 columns mirrored from p50 because full sample arrays were not re-fetched,671.0886399999999,671.0886399999999,0.0,0.0,335.54431999999997,335.54431999999997,0.0,0.0,167.77216,167.77216,0.0,0.0,83.88607999999999,83.88607999999999,0.0,0.0,
