layer,rank,group_median_share_mean,group_median_share_min,group_median_share_max,group_median_share_cv,group_median_share_max_over_min,traffic_max_over_mean,traffic_max_over_min
0,1,0.9324689507484436,0.900018036365509,0.9664106369018555,0.030360842975991207,1.073768077809258,1.9364826738045287,6.067089755213055
0,2,0.043023815378546715,0.012382054701447487,0.07585610449314117,0.5638525488119713,6.126293763205023,1.423135354119945,2.129004329004329
1,1,0.9916479289531708,0.9841325879096985,0.9960579872131348,0.00457419173558501,1.0121176754534325,1.379150690877523,2.7033465683494042
1,2,0.0066238935105502605,0.005209725350141525,0.00864494126290083,0.19495692301963263,1.6593852231895458,1.294075092237575,1.843363561417972
2,1,0.9978021681308746,0.9968243837356567,0.9993322491645813,0.0010083680210699762,1.0025158548184046,1.3149099327208276,2.0844036697247708
2,2,0.0018451000505592674,0.0011574382660910487,0.0027966322377324104,0.3323546754463835,2.4162258322228447,1.2914707371771685,1.6578751857355127
3,1,0.9992304742336273,0.9985015988349915,0.999655544757843,0.00044974578511759576,1.0011556775915011,1.3803081820154814,1.8206106870229009
3,2,0.0006453142414102331,0.0005106012104079127,0.0008938788087107241,0.23265595218855817,1.7506398153592622,1.1936627360196774,1.439288206559665
4,1,0.9996597468852997,0.9995113015174866,0.9998493194580078,0.00012339582866472716,1.0003381832101428,1.2862620270563554,1.6341911764705883
4,2,0.000311047780996887,0.00019710931519512087,0.0004658456891775131,0.328596559016053,2.36338748737657,1.1265282500180858,1.3893647394718058
5,1,0.9997650384902954,0.9996949434280396,0.9998598694801331,5.9882492688203854e-05,1.0001649763792222,1.1670404398466325,1.2674418604651163
5,2,0.0002304224944964517,0.00017715753347147256,0.0002765724202618003,0.16917349204033927,1.5611665778036832,1.0292989944295738,1.10226216299969
6,1,0.9999495297670364,0.9999196529388428,0.9999884963035583,2.485125826573305e-05,1.0000688488965221,1.272950878969833,1.8953037483843171
6,2,4.531061358648003e-05,8.904598871595226e-06,7.455195736838505e-05,0.5375037522222531,8.37229822964831,1.200028937278449,1.4270474879559532
7,1,0.9999391138553619,0.999796986579895,0.9999939203262329,8.23412039858584e-05,1.0001969737346494,1.451204514215438,2.875573394495413
7,2,1.9702009922184516e-05,1.648333272896707e-05,2.4315457267221063e-05,0.1670113016751089,1.4751541855665007,1.2822108080735006,1.9485488126649078
8,1,0.9999740421772003,0.9999415278434753,0.9999923706054688,2.0287416444626214e-05,1.0000508457350532,1.257614121391883,2.3215811965811968
8,2,1.6833642575875274e-05,1.0133668183698319e-05,3.124659997411072e-05,0.4991140891995101,3.0834441593791326,1.1751428778123418,1.699163179916318
9,1,0.9999934434890747,0.9999829530715942,0.999998927116394,6.297434911931604e-06,1.0000159743171129,1.334297909281632,1.6339475549255846
9,2,3.4273909363946586e-06,2.5689153062558034e-06,4.151836037635803e-06,0.20452069716936003,1.6161825294610854,1.175721623381321,1.4132173913043478
10,1,0.9999953061342239,0.9999892115592957,0.9999979734420776,3.546461705652311e-06,1.0000087619773101,1.2092888663821169,1.773016546457361
10,2,3.613184674122749e-06,1.6540261640329845e-06,6.95676681061741e-06,0.5648204074142193,4.205959350518882,1.1210301671127831,1.4353464246017043
11,1,0.9999977499246597,0.999994158744812,0.9999999403953552,2.36825883626404e-06,1.0000057816843155,1.5753454387614845,2.3659278574532814
11,2,5.440358208375073e-07,1.624600827199174e-07,1.404854060638172e-06,0.9197212977810948,8.647379941694064,1.1838240613470303,1.3116383456235974
