model,cache_capacity,prefetch_budget,runtime_capped_budget,h2d_time_us,fused_layer_compute_us_median,mean_reactive_latency_ms,mean_predictive_latency_ms,mean_latency_saving_pct,ci_low_pct,ci_high_pct,mean_latency_saving_capped_pct,ci_low_capped_pct,ci_high_capped_pct,mean_reactive_miss_rate,mean_predictive_miss_rate,mean_predictive_capped_miss_rate,n_docs
olmoe,8,8,2,248.928003013134,543.503999710083,47.56231640931219,63.10061894538814,-32.96645457238828,-33.71974305775963,-32.271203375556844,5.316418340510107,5.000108862848633,5.646944868715649,0.7666168110283863,0.6430894219355242,0.716293301234227,480
llmjp,6,6,1,81.56800270080566,101.76800005137919,15.333417852222917,19.346998639404774,-26.451417494696173,-27.10534545821059,-25.82242378599024,3.0667784377458185,2.874336482334489,3.264944140392216,0.8248219715357615,0.7149111433027833,0.7963437757476943,480
