strategy,sample_idx,kl_free,kl_locked,drift_contribution,drift_fraction,numerical_fraction
rank8_int4,0,0.681464433670044,0.2699156701564789,0.41154876351356506,0.6039181843976197,0.3960818156023803
rank1_int4,0,39.86251449584961,38.98545455932617,0.8770599365234375,0.02200212273650612,0.9779978772634939
uniform_int4,0,51.57175064086914,43.42304992675781,8.148700714111328,0.15800706031595746,0.8419929396840425
rank8_int4,1,0.4182687997817993,0.24543806910514832,0.172830730676651,0.41320493129492947,0.5867950687050705
rank1_int4,1,29.308210372924805,23.539915084838867,5.7682952880859375,0.1968149953439239,0.8031850046560761
uniform_int4,1,41.55434036254883,33.60515594482422,7.949184417724609,0.19129612811490743,0.8087038718850925
rank8_int4,2,0.3439634442329407,0.21739470958709717,0.1265687346458435,0.36797147129428087,0.6320285287057191
rank1_int4,2,14.080370903015137,11.368155479431152,2.7122154235839844,0.1926238621315861,0.8073761378684139
uniform_int4,2,18.71578025817871,16.98745346069336,1.7283267974853516,0.09234596547104044,0.9076540345289595
rank8_int4,3,0.21411950886249542,0.15526123344898224,0.058858275413513184,0.2748851598165731,0.7251148401834269
rank1_int4,3,9.700294494628906,6.718238830566406,2.9820556640625,0.3074190856487581,0.6925809143512419
uniform_int4,3,12.498567581176758,11.127223014831543,1.3713445663452148,0.10972013852295391,0.8902798614770461
rank8_int4,4,0.16315993666648865,0.08972591161727905,0.0734340250492096,0.4500738756678629,0.5499261243321372
rank1_int4,4,19.246904373168945,15.594454765319824,3.652449607849121,0.1897681589222629,0.8102318410777372
uniform_int4,4,24.89985466003418,22.421958923339844,2.477895736694336,0.0995144658684098,0.9004855341315902
rank8_int4,5,0.09344436973333359,0.053517699241638184,0.039926670491695404,0.42727743368205,0.57272256631795
rank1_int4,5,13.50153636932373,10.669271469116211,2.8322649002075195,0.20977352671082594,0.7902264732891741
uniform_int4,5,18.75674057006836,15.619059562683105,3.137681007385254,0.16728284936628618,0.8327171506337139
rank8_int4,6,0.11657679826021194,0.07102809101343155,0.045548707246780396,0.3907184613623612,0.6092815386376388
rank1_int4,6,15.085868835449219,11.320920944213867,3.7649478912353516,0.2495678526906164,0.7504321473093836
uniform_int4,6,16.88348388671875,15.28839111328125,1.5950927734375,0.0944765182435046,0.9055234817564954
