strategy,sample_id,token_count,nll_sum,mean_nll,sample_ppl,kl_sum,mean_token_kl
full,160,127,283.01715087890625,2.228481502983514,9.285754977133065,0.0,0.0
full,161,127,350.2862243652344,2.7581592469703495,15.770786090939078,0.0,0.0
full,162,127,359.7510986328125,2.8326858160063977,16.991034388166867,0.0,0.0
full,163,127,312.2519836425781,2.4586770365557333,11.689336740745318,0.0,0.0
full,164,127,277.671875,2.186392716535433,8.903039333041416,0.0,0.0
full,165,127,367.4013671875,2.8929241510826773,18.046001759672194,0.0,0.0
full,166,127,366.04217529296875,2.882221852700541,17.853897874401028,0.0,0.0
full,167,127,283.47076416015625,2.2320532611035926,9.318980749762273,0.0,0.0
full,168,127,280.76116943359375,2.2107178695558565,9.122262637712442,0.0,0.0
full,169,127,302.28826904296875,2.3802225908895176,10.807308204564416,0.0,0.0
full,170,127,360.9767150878906,2.842336339274729,17.15580052183006,0.0,0.0
full,171,127,441.65655517578125,3.477610670675443,32.382257690857315,0.0,0.0
full,172,127,367.89227294921875,2.89678955078125,18.115891758804576,0.0,0.0
full,173,127,312.6523742675781,2.4618297186423472,11.726247656911658,0.0,0.0
full,174,127,364.71099853515625,2.871740145946112,17.667735904452474,0.0,0.0
full,175,127,351.1450500488281,2.7649216539277806,15.877795978932284,0.0,0.0
full,176,127,295.16180419921875,2.3241086944820375,10.217569050361343,0.0,0.0
full,177,127,322.60400390625,2.540189007135827,12.682067745623934,0.0,0.0
full,178,127,243.1553497314453,1.9146090530035065,6.784285982250007,0.0,0.0
full,179,127,329.1932373046875,2.5920727346825787,13.357429336778393,0.0,0.0
full,180,127,307.51885986328125,2.421408345380167,11.261708526856543,0.0,0.0
full,181,127,330.9154968261719,2.605633833276944,13.539804562245214,0.0,0.0
full,182,127,286.9672546386719,2.2595846821942667,9.579109965573242,0.0,0.0
full,183,127,388.35333251953125,3.0579002560593014,21.282821736012146,0.0,0.0
uniform_fp8,160,127,281.9841613769531,2.220347727377584,9.210533063612434,0.6212573051452637,0.0048917898042934145
uniform_fp8,161,127,350.6128234863281,2.7607308935931347,15.811395173453233,0.5848785638809204,0.004605343022684413
uniform_fp8,162,127,360.14752197265625,2.8358072596272144,17.04415380557184,0.8508911728858948,0.0066999304951645255
uniform_fp8,163,127,312.3623352050781,2.4595459464966782,11.699498135671613,0.7956116199493408,0.006264658424797959
uniform_fp8,164,127,280.0914611816406,2.2054445762333907,9.074284882625868,0.9256165027618408,0.007288318919384573
