corpus_ppl,mean_token_kl,token_count,sample_count,corpus_ppl_ci_low,corpus_ppl_ci_high,mean_token_kl_ci_low,mean_token_kl_ci_high,strategy,wire_bytes_per_pair,wire_saving_vs_bf16,ppl_delta_vs_full
13.29276116492855,0.0,3048,24,11.615644862455868,15.18432032569786,0.0,0.0,full,1024.0,0.0,0.0
13.332005843802627,0.005715704887244958,3048,24,11.667365025723448,15.221326090907175,0.005440056869598824,0.0060174576287937605,uniform_fp8,516.0,0.49609375,0.03924467887407701
16.501781235742243,0.19698363589489554,3048,24,14.275414270298256,19.038343944924964,0.1819026666519836,0.21405270661268957,uniform_int4,260.0,0.74609375,3.2090200708136933
13.321073549055013,0.010439794031497375,3048,24,11.67498036619437,15.195077493139744,0.009794643312066871,0.011074728074818458,block_gate16_f492_int4,390.0,0.619140625,0.02831238412646364
13.493015156115204,0.016797568150392666,3048,24,11.80428430393292,15.416716632353273,0.01627418669013996,0.017356589773860502,block_gate16_residual_int4,390.0,0.619140625,0.20025399118665455
13.342096544712787,0.008282203745497806,3048,24,11.680637148487543,15.22297308491998,0.007881628365067672,0.008710203170189704,block_qerr16_f492_int4,390.0,0.619140625,0.04933537978423708
13.502195450780045,0.016490876127102868,3048,24,11.806422970483386,15.431372489833068,0.015992719580338696,0.01699350190072704,block_reserr16_residual_int4,390.0,0.619140625,0.20943428585149526
14.650710640648585,0.09074388432690478,3048,24,12.83056676213142,16.66288246617494,0.08585560687101419,0.09615597399513866,uniform_mxfp4,272.0,0.734375,1.3579494757200354
13.331678277045878,0.008264919532722063,3048,24,11.686893617840814,15.211595019855277,0.007858554033802093,0.008672956622687225,block_gate16_f443_mxfp4,408.296875,0.6012725830078125,0.0389171121173284
13.455658539723673,0.013030726100829016,3048,24,11.768828294785905,15.359839561096296,0.012651972570444342,0.013426777533697958,block_gate16_residual_mxfp4,408.0,0.6015625,0.1628973747951239
13.35910579314544,0.0077362302250749485,3048,24,11.698598064696528,15.245185347311764,0.007331693237965189,0.008123822860282863,block_qerr16_f443_mxfp4,408.296875,0.6012725830078125,0.06634462821689091
13.482031689819541,0.013168480413479441,3048,24,11.78918139513372,15.400016051368649,0.012725563428494248,0.013627302840234726,block_reserr16_residual_mxfp4,408.0,0.6015625,0.1892705248909916
