block,tokens,bf16_us,per_expert_us,quantize_once_us
0,256,737.2159957885742,1664.896011352539,1284.000039100647
0,16,642.1120166778564,1679.7120571136475,1239.9040460586548
0,32,716.7999744415283,1682.752013206482,1286.463975906372
0,8,624.8000264167786,1652.1600484848022,1238.368034362793
0,128,643.0079936981201,1734.9120378494263,1276.7679691314697
0,64,710.0800275802612,1700.4799842834473,1273.7280130386353
1,128,668.832004070282,1758.1759691238403,1318.5280561447144
1,64,723.1360077857971,1737.0879650115967,1306.9440126419067
1,8,630.7839751243591,1618.5920238494873,1229.5680046081543
1,16,607.4879765510559,1629.088044166565,1243.0720329284668
1,32,710.2720141410828,1660.159945487976,1294.20804977417
1,256,720.0959920883179,1669.7920560836792,1238.3359670639038
2,16,633.1520080566406,1639.0719413757324,1293.8560247421265
2,8,626.36798620224,1625.0879764556885,1259.0080499649048
2,256,726.0159850120544,1686.911940574646,1278.7200212478638
2,64,708.0960273742676,1709.7920179367065,1295.1040267944336
2,128,661.2799763679504,1709.4080448150635,1285.2799892425537
2,32,700.6080150604248,1699.072003364563,1287.5839471817017
3,16,637.3440027236938,1656.7039489746094,1244.5759773254395
3,64,712.0320200920105,1684.7039461135864,1279.039978981018
3,256,710.6559872627258,1683.8719844818115,1278.432011604309
3,8,641.4399743080139,1653.7280082702637,1238.144040107727
3,32,699.0399956703186,1699.2640495300293,1282.9760313034058
3,128,662.3679995536804,1691.264033317566,1279.7759771347046
4,8,629.7280192375183,1637.9519701004028,1276.703953742981
4,64,710.3679776191711,1715.8080339431763,1305.9200048446655
4,256,720.1600074768066,1648.5439538955688,1267.8719758987427
4,128,642.7519917488098,1692.479968070984,1308.5440397262573
4,16,631.8079829216003,1652.8960466384888,1249.8879432678223
4,32,711.1039757728577,1699.8080015182495,1276.576042175293
5,64,706.5280079841614,1680.1600456237793,1282.3679447174072
5,32,703.7439942359924,1670.2719926834106,1297.984004020691
5,128,654.2720198631287,1695.9999799728394,1308.4800243377686
5,256,713.5360240936279,1672.8960275650024,1255.903959274292
5,16,626.8799901008606,1648.5120058059692,1252.5440454483032
5,8,625.2800226211548,1631.7440271377563,1235.6799840927124
6,8,619.2319989204407,1622.655987739563,1230.1440238952637
6,64,712.1599912643433,1687.2639656066895,1289.9839878082275
6,256,721.5359807014465,1649.8559713363647,1265.3440237045288
6,16,634.1760158538818,1643.5199975967407,1239.2640113830566
6,128,662.6240015029907,1698.848009109497,1299.2960214614868
6,32,704.4159770011902,1661.5040302276611,1302.5280237197876
7,16,631.1039924621582,1645.792007446289,1233.3439588546753
7,256,719.7120189666748,1657.472014427185,1248.35205078125
7,32,704.5440077781677,1684.928059577942,1297.4079847335815
7,64,693.2479739189148,1699.4880437850952,1279.2960405349731
7,128,661.1840128898621,1681.1519861221313,1282.4000120162964
7,8,617.7600026130676,1620.7040548324585,1257.3440074920654
8,128,660.9280109405518,1706.5279483795166,1276.9279479980469
8,32,711.3280296325684,1676.7040491104126,1279.5840501785278
8,64,696.0319876670837,1694.0799951553345,1273.8879919052124
8,16,618.1439757347107,1647.968053817749,1244.6080446243286
8,8,626.36798620224,1614.9120330810547,1227.7439832687378
8,256,708.1599831581116,1677.7280569076538,1243.5200214385986
9,64,712.8959894180298,1688.5759830474854,1294.335961341858
9,8,625.6960034370422,1623.8720417022705,1236.3840341567993
9,32,693.1520104408264,1680.8639764785767,1290.6880378723145
9,16,630.5599808692932,1637.3440027236938,1258.1759691238403
9,128,656.0320258140564,1720.0000286102295,1280.735969543457
9,256,715.1359915733337,1675.3599643707275,1248.9919662475586
10,128,658.1760048866272,1707.4240446090698,1276.352047920227
10,32,690.8159852027893,1662.2400283813477,1285.856008529663
10,256,722.2399711608887,1660.5119705200195,1258.080005645752
10,16,630.1760077476501,1628.5760402679443,1258.687973022461
10,64,704.3840289115906,1702.847957611084,1282.5599908828735
10,8,626.5919804573059,1628.3199787139893,1224.6079444885254
11,8,622.2079992294312,1631.4239501953125,1244.7359561920166
11,64,710.2400064468384,1678.3039569854736,1294.7200536727905
11,16,627.7120113372803,1666.6879653930664,1238.8800382614136
11,32,714.5599722862244,1664.9279594421387,1279.4560194015503
11,256,711.1999988555908,1688.9280080795288,1267.9359912872314
11,128,670.3360080718994,1712.5760316848755,1291.0079956054688
12,8,627.0080208778381,1633.4079504013062,1265.5999660491943
12,16,622.5280165672302,1660.0960493087769,1259.7440481185913
12,128,668.6400175094604,1738.4320497512817,1291.6159629821777
12,256,710.1759910583496,1700.8320093154907,1244.6719408035278
12,64,703.935980796814,1710.7839584350586,1272.2879648208618
12,32,715.5519723892212,1685.9840154647827,1294.368028640747
13,8,638.047993183136,1666.1440134048462,1250.8480548858643
13,16,624.0000128746033,1677.8240203857422,1250.9440183639526
13,256,728.3840179443359,1700.9600400924683,1251.3279914855957
13,64,708.736002445221,1690.4319524765015,1296.3199615478516
13,32,713.2160067558289,1662.4000072479248,1279.5840501785278
13,128,658.1119894981384,1697.6319551467896,1302.4640083312988
14,32,721.0239768028259,1686.9759559631348,1296.2239980697632
14,128,661.5359783172607,1722.6239442825317,1273.2160091400146
14,256,713.4079933166504,1657.0240259170532,1269.536018371582
14,64,700.3200054168701,1685.7919692993164,1280.3839445114136
14,16,629.4080018997192,1634.4640254974365,1249.2799758911133
14,8,627.839982509613,1619.6479797363281,1231.9680452346802
15,8,621.7600107192993,1629.6000480651855,1237.5680208206177
15,32,710.6879949569702,1668.9599752426147,1290.1760339736938
