policy,byte_saving,mean_kl,kl_ci_low,kl_ci_high
full,0.0,0.0,0.0,0.0
rank1_int4,0.046875,0.20197792010983145,0.1947646576471216,0.20960230874850994
rankk_int4,0.046875,0.0017211608713360751,0.0016333179841712703,0.0018092576444825508
uniform_fp8,0.5,0.005853068087191327,0.005678285088566111,0.006075434703251537
fp8top12_rest_int4,0.5625,0.006386815016634587,0.006197738487229454,0.006585283630974884
fp8top8_rest_int4,0.625,0.008613612913475262,0.008285765000710661,0.009020268511646756
fp8top6_rest_int4,0.65625,0.011695560500553743,0.011372956473886323,0.012079843060172154
fp8top4_rest_int4,0.6875,0.03394502328019442,0.03349341832864003,0.03447531633717045
uniform_int4,0.75,0.20747645234498452,0.19935423903108582,0.2166415199930743
