feature_group,n_features,selected_alpha_on_validation,validation_spearman,test_spearman,test_spearman_ci_low,test_spearman_ci_high,test_worst_decile_auc,test_worst_decile_recall_at_10pct,availability
length_only,1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,arrival
arrival_lexical,5,0.0,-0.27941176470588236,0.03079178885630498,-0.36280382964551294,0.4046877878062258,0.49107142857142855,0.25,arrival
early_router_plus_lexical,13,0.0,0.2647058823529412,0.07587976539589442,-0.30577749565256745,0.46334557041608077,0.625,0.0,after_early_chunk
full_router_plus_lexical,13,0.0,0.2764705882352941,0.043621700879765385,-0.3490502613590125,0.39522507812922786,0.48214285714285715,0.0,after_prefill
post_prefill_all,14,0.0,0.32647058823529407,0.2349706744868035,-0.15334819627606613,0.5720956975701585,0.5,0.0,after_prefill
