sample_id,char_count,token_count_input,unique_token_ratio,token_id_entropy,adjacent_repeat_rate,early_route_top1_weight_mean,early_route_top1_weight_std,early_route_top1_top2_margin_mean,early_route_tail_mass_mean,early_route_routing_entropy_mean,early_route_rank1_hhi_mean,early_route_active_expert_fraction_mean,early_route_same_id_adjacent_layer_rate,full_route_top1_weight_mean,full_route_top1_weight_std,full_route_top1_top2_margin_mean,full_route_tail_mass_mean,full_route_routing_entropy_mean,full_route_rank1_hhi_mean,full_route_active_expert_fraction_mean,full_route_same_id_adjacent_layer_rate,full_mean_nll,full_sample_ppl,label_token_count,label_kl_sum,label_mean_token_kl
0,8778.0,128.0,0.640625,4.118745560537947,0.0,0.12381935119628906,0.09190527349710464,0.04532015323638916,0.1453777551651001,0.9353076815605164,0.08251953125,0.77734375,0.016666666666666666,0.10342860221862793,0.05880517140030861,0.028881996870040894,0.14357563853263855,0.9514233469963074,0.07665252685546875,0.908203125,0.013541666666666667,1.927751075564407,6.874033663000548,127,2.1424529552459717,0.016869708309023398
1,23723.0,128.0,0.6953125,4.3294433543871085,0.0,0.12374019622802734,0.0882452055811882,0.04368478059768677,0.14701151847839355,0.9365177154541016,0.12060546875,0.7314453125,0.01875,0.10603618621826172,0.05934499576687813,0.03045804798603058,0.1438642144203186,0.9500157833099365,0.06819915771484375,0.8876953125,0.017708333333333333,2.2598444420521653,9.581598557020781,127,3.155150890350342,0.024843707798034187
2,6446.0,128.0,0.625,4.2104485660602835,0.0,0.1175534725189209,0.0879436805844307,0.043429672718048096,0.142818421125412,0.9383063912391663,0.1055908203125,0.7373046875,0.016666666666666666,0.10177451372146606,0.05695737898349762,0.0298626571893692,0.14091110229492188,0.9516427516937256,0.0703887939453125,0.931640625,0.0140625,2.5210148368294782,12.441216063443294,127,4.786861419677734,0.037691822202186885
3,10036.0,128.0,0.53125,3.943863429442088,0.0,0.12201213836669922,0.08931199461221695,0.046073853969573975,0.143977552652359,0.9364463090896606,0.112060546875,0.759765625,0.014583333333333334,0.11095905303955078,0.0627661645412445,0.03573034703731537,0.14055275917053223,0.9452433586120605,0.089752197265625,0.921875,0.011458333333333333,2.0979285052442176,8.149271243214221,127,4.476740837097168,0.035249927851158804
4,9129.0,128.0,0.640625,4.153525029716699,0.0,0.12581443786621094,0.08920306712388992,0.04312705993652344,0.14210647344589233,0.9312655925750732,0.0994873046875,0.7412109375,0.020833333333333332,0.10824644565582275,0.06396430730819702,0.03166419267654419,0.1414308100938797,0.9467606544494629,0.0850067138671875,0.923828125,0.016666666666666666,2.3330890325110727,10.309739515802173,127,3.909166097640991,0.030780835414495993
5,22095.0,128.0,0.578125,4.109427660403771,0.0,0.12292909622192383,0.08634540438652039,0.039954185485839844,0.1484544277191162,0.9368443489074707,0.162841796875,0.771484375,0.020833333333333332,0.10687577724456787,0.06097650155425072,0.031139373779296875,0.14317986369132996,0.9486476182937622,0.12378692626953125,0.9013671875,0.021354166666666667,2.0239675927349903,7.568293348822815,127,3.4877355098724365,0.027462484329704225
6,9844.0,128.0,0.7109375,4.343680979154712,0.0,0.13753032684326172,0.09978482872247696,0.05725318193435669,0.1407846212387085,0.9227889180183411,0.156494140625,0.8603515625,0.0125,0.11456882953643799,0.06733667105436325,0.037756696343421936,0.14009615778923035,0.9408996105194092,0.11660003662109375,0.958984375,0.022395833333333334,2.3256850355253444,10.233688125059972,127,3.1504993438720703,0.024807081447811578
7,20011.0,128.0,0.65625,4.193877857359886,0.007874015748031496,0.12901830673217773,0.10285766422748566,0.0480496883392334,0.13801309466362,0.926334023475647,0.1351318359375,0.712890625,0.025,0.1106722354888916,0.06947115808725357,0.03315764665603638,0.14284619688987732,0.9451568126678467,0.0997314453125,0.9150390625,0.0171875,1.5394452913539616,4.662003499953041,127,1.7209523916244507,0.013550806233263392
8,77296.0,128.0,0.59375,4.0298410100947475,0.0,0.13366127014160156,0.09426657855510712,0.05274975299835205,0.13829541206359863,0.9261126518249512,0.182373046875,0.66015625,0.014583333333333334,0.13031184673309326,0.08339667320251465,0.04711458086967468,0.13610142469406128,0.9287159442901611,0.112213134765625,0.892578125,0.033854166666666664,1.1994231216550812,3.3182021715235783,127,3.6861960887908936,0.029025166053471604
9,13138.0,128.0,0.640625,4.094838417406714,0.0,0.12417793273925781,0.09090403467416763,0.04415631294250488,0.13991400599479675,0.9317933320999146,0.1175537109375,0.8291015625,0.016666666666666666,0.11070680618286133,0.06407035887241364,0.033069908618927,0.14300593733787537,0.9464855194091797,0.07391357421875,0.935546875,0.016666666666666666,2.0107590082123523,7.468984216805386,127,2.9337425231933594,0.02310033482829417
