model,rank_mode,rank_limit,mean_unique_experts,p50_unique_experts,p95_unique_experts,mean_fraction_of_all_experts,fraction_layers_requiring_all_experts,n_layer_batches
olmoe,top1,1,15.733537946428571,16.0,22.0,0.24583653041294642,0.0,3584
olmoe,full_topk,8,49.830357142857146,50.0,59.0,0.7785993303571429,0.0,3584
