model,lambda,origin_mode,winner,reward_uniform_full,reward_controller,reward_causal_no_hysteresis,reward_calib_static,reward_uniform_low
olmoe,0.0,balanced,uniform_low,0.0,0.15846340850076643,0.1521496036544536,-0.18432342474286123,0.2030460673630491
olmoe,0.0,hotspot,uniform_low,0.0,0.38283026233996686,0.3815865693848277,0.3825028276140289,0.3893254385730079
olmoe,0.0,mixed,uniform_low,0.0,0.2706468354203667,0.26686808651964067,0.09908970143558384,0.2961857529680285
olmoe,0.02,balanced,uniform_low,0.0,0.15384632771495557,0.14756254653950032,-0.1864852735985307,0.1978961873630491
olmoe,0.02,hotspot,uniform_low,0.0,0.3786860444277188,0.37754456760198035,0.37890724759138883,0.3841755585730079
olmoe,0.02,mixed,uniform_low,0.0,0.26626618607133723,0.26255355707074035,0.09621098699642909,0.2910358729680285
olmoe,0.05,balanced,uniform_low,0.0,0.14692070653623926,0.14068196086707035,-0.18972804688203498,0.19017136736304913
olmoe,0.05,hotspot,uniform_low,0.0,0.37246971755934677,0.37148156492770923,0.3735138775574287,0.3764507385730079
olmoe,0.05,mixed,uniform_low,0.0,0.259695212047793,0.25608176289738976,0.09189291533769689,0.28331105296802855
olmoe,0.1,balanced,uniform_low,0.0,0.13537800457171198,0.12921431807968706,-0.19513266902120868,0.1772966673630491
olmoe,0.1,hotspot,calib_static,0.0,0.3621091727787266,0.3613765604705905,0.3645249275008286,0.36357603857300796
olmoe,0.1,mixed,uniform_low,0.0,0.24874358867521926,0.24529543927513883,0.08469612923980994,0.2704363529680285
olmoe,0.2,balanced,uniform_low,0.0,0.11229260064265749,0.10627903250492055,-0.20594191329955613,0.1515472673630491
olmoe,0.2,hotspot,calib_static,0.0,0.3413880832174863,0.3411665515563532,0.34654702738762816,0.33782663857300793
olmoe,0.2,mixed,uniform_low,0.0,0.22684034193007194,0.22372279203063689,0.07030255704403601,0.24468695296802853
olmoe,0.5,balanced,uniform_low,0.0,0.04303638885549409,0.03747317578062097,-0.23836964613459843,0.0742990673630491
