model,origin_mode,scenario_seed,saving_uniform_full,low_frac_uniform_full,saving_controller,low_frac_controller,saving_causal_no_hysteresis,low_frac_causal_no_hysteresis,saving_calib_static,low_frac_calib_static,saving_uniform_low,low_frac_uniform_low
olmoe,hotspot,0,0.0,0.0,0.38341423362523674,0.8275781781037468,0.3792462133056762,0.7882966618221967,0.3854753145687132,0.6980092608240105,0.38859486919229924,1.0
olmoe,balanced,1,0.0,0.0,0.14595755625344697,0.851721051285523,0.1128611536985693,0.8737381715334507,-0.23551833813402467,0.41868258338222686,0.18408844955534953,1.0
olmoe,hotspot,2,0.0,0.0,0.38111824580826337,0.8170679852040835,0.3908890144764219,0.8070623031507174,0.38803703703869796,0.7039687825730294,0.38838471903542826,1.0
olmoe,balanced,3,0.0,0.0,0.15757857651790064,0.914705115955876,0.16127450462639914,0.909353887288094,-0.14396289478468982,0.42281126439299244,0.21207249019957308,1.0
olmoe,hotspot,4,0.0,0.0,0.38190225629200003,0.7953108625001418,0.38291248178153714,0.7611922228569915,0.3745131005218538,0.7021258886244718,0.3909862557813423,1.0
olmoe,balanced,5,0.0,0.0,0.14347814371391054,0.8990147970634106,0.16181203784228826,0.9170033093689376,-0.16682012506591182,0.4205066757959603,0.21986229898864496,1.0
olmoe,hotspot,6,0.0,0.0,0.3796518439831441,0.7589769583145957,0.37685836781044457,0.7637827084460773,0.37625018467741345,0.6936019878503319,0.38720571963345674,1.0
olmoe,balanced,7,0.0,0.0,0.16164573425777928,0.8998759342984579,0.16119983164636442,0.8799150568571037,-0.1958737944156992,0.4255149107183632,0.18916451461503114,1.0
olmoe,hotspot,8,0.0,0.0,0.38032596674032526,0.7731784766299034,0.3842106388951988,0.7768900535025883,0.3874262858284959,0.7012765861044301,0.3885001936427327,1.0
olmoe,balanced,9,0.0,0.0,0.17102622043493054,0.9277548440165733,0.1695349549896813,0.9286688094077504,-0.2006834174265426,0.41715665366804777,0.21995995709412197,1.0
olmoe,hotspot,10,0.0,0.0,0.39016216586733066,0.8020289428279098,0.39016216586733066,0.7956257291395304,0.3862773745188136,0.6953716393510705,0.3940208184274021,1.0
